Account,Lat,Long,Date,Check-in DateTime,DateTime
God's favour ikinu,-1.0716893,36.7848118,04/02/2019,"04/02/2019, 11:01",11:01
Benstar traders,-0.7916045,37.1314085,04/02/2019,"04/02/2019, 11:13",11:13
Gitau stores,-1.1660657,36.8406701,04/02/2019,"04/02/2019, 11:27",11:27
Andus wholesale,-1.005394,37.0757509,04/02/2019,"04/02/2019, 11:59",11:59
Choosen stores,-0.9465726,37.1203306,04/02/2019,"04/02/2019, 12:31",12:31
Del supermarket,-1.0340053,37.0727332,04/02/2019,"04/02/2019, 12:55",12:55
Homecare w/s,-1.0439656,37.0646855,04/02/2019,"04/02/2019, 13:04",13:04
Gichimu shop,-1.0066055,36.7467636,04/02/2019,"04/02/2019, 13:19",13:19
Base shop 2,-0.8318497,37.0552954,04/02/2019,"04/02/2019, 14:08",14:08
Daima wholesale,-1.1742133,36.8299056,04/02/2019,"04/02/2019, 14:30",14:30
Cleanheart mini mart,-1.0523683,36.7861583,04/02/2019,"04/02/2019, 15:06",15:06
Githunguri,-0.8481248,37.1163095,04/02/2019,"04/02/2019, 15:16",15:16
B.M shopping mart,-1.0475957,36.835288,04/02/2019,"04/02/2019, 16:02",16:02
Fratres Ltd Tinganga,-1.1004754,36.797939,04/02/2019,"04/02/2019, 16:13",16:13
Elshadai shop,-0.8836112,37.1863117,04/02/2019,"04/02/2019, 16:34",16:34
Father shop methi,-0.9720812,37.1109477,04/02/2019,"04/02/2019, 17:10",17:10
County supermarket,-0.8924254,37.127367,04/02/2019,"04/02/2019, 17:18",17:18
Duka Njega kigumo,-0.7969805,36.9438629,04/02/2019,"04/02/2019, 17:29",17:29
Mama waithaka kambi,-0.8481248,37.1163095,05/02/2019,"05/02/2019, 08:23",8:23
Kamiri shop-Inn,-0.9401047,37.1206657,05/02/2019,"05/02/2019, 09:33",9:33
Jomwambus,-0.7963275,37.1297752,05/02/2019,"05/02/2019, 09:47",9:47
Me and U kirere,-0.8126271,37.0224204,05/02/2019,"05/02/2019, 10:32",10:32
JB smkt methi,-0.9921313,37.1357428,05/02/2019,"05/02/2019, 10:44",10:44
Mama John shop,-1.0453812,36.8914443,05/02/2019,"05/02/2019, 11:33",11:33
Mambo Mali supplies,-1.0475957,36.835288,05/02/2019,"05/02/2019, 12:22",12:22
Kambi gen shop,-0.8481248,37.1163095,05/02/2019,"05/02/2019, 12:47",12:47
Mama Wambui muthithi,-0.8318497,37.0552954,05/02/2019,"05/02/2019, 12:53",12:53
Mini Mugoiri shop,-0.8471955,37.1779418,05/02/2019,"05/02/2019, 12:54",12:54
Kwa Dave gen shop,-0.886928,37.2291503,05/02/2019,"05/02/2019, 14:29",14:29
Justii,-1.0407085,37.0744097,05/02/2019,"05/02/2019, 14:34",14:34
Muiruri Kigumo,-0.7969805,36.9438629,05/02/2019,"05/02/2019, 14:44",14:44
Miriam shop kirere,-1.1887907,36.827582,05/02/2019,"05/02/2019, 14:52",14:52
Kimo traders,-0.9375522,37.1232751,05/02/2019,"05/02/2019, 14:56",14:56
Karwai methi,-0.9473076,37.1189903,05/02/2019,"05/02/2019, 15:24",15:24
Main enterprise,-1.0443589,36.789861,05/02/2019,"05/02/2019, 15:33",15:33
Muhindi shop,-1.0523683,36.7861583,05/02/2019,"05/02/2019, 15:53",15:53
MMK shop,-1.1887907,36.827582,05/02/2019,"05/02/2019, 16:23",16:23
Lukas shop muthithi,-0.8074822,37.0123536,05/02/2019,"05/02/2019, 16:39",16:39
Muguro gen muthithi,-0.8074822,37.0123536,05/02/2019,"05/02/2019, 17:36",17:36
Magomano supermarket,-0.877338,37.1920027,05/02/2019,"05/02/2019, 17:42",17:42
Irungu stores kirere,-0.7859587,36.9935586,05/02/2019,"05/02/2019, 18:26",18:26
Ngugi shop,-0.9465726,37.1203306,06/02/2019,"06/02/2019, 07:43",7:43
Mureithi Ikinu,-1.1004754,36.797939,06/02/2019,"06/02/2019, 09:44",9:44
Mzee tinganga,-1.1486423,36.8093812,06/02/2019,"06/02/2019, 10:54",10:54
